,epoch,batch,fixed point,x_mean,x_var,y_mean,y_var
0,1,7,0,-0.0083503732457757,0.0,0.1357931345701217,0.0
1,2,7,0,-0.0160297434777021,0.0,0.2623125910758972,0.0
2,3,7,0,-0.0231191255152225,0.0,0.3803414106369018,0.0
3,4,7,0,-0.029682507738471,0.0,0.4905566573143005,0.0
4,5,7,0,-0.0357711538672447,0.0,0.5935519933700562,0.0
5,6,7,0,-0.0414267070591449,0.0,0.6898526549339294,0.0
6,7,7,0,-0.0466834418475627,0.0,0.7799261808395386,0.0
7,8,7,0,-0.0515699982643127,0.0,0.8641910552978516,0.0
8,9,7,0,-0.0561106875538826,0.0,0.9430230855941772,0.0
9,10,7,0,-0.0603265278041362,0.0,1.0167614221572876,0.0
10,11,7,0,-0.064236044883728,0.0,1.085713505744934,0.0
11,12,7,0,-0.0678558945655822,0.0,1.1501598358154297,0.0
12,13,7,0,-0.0712013840675354,0.0,1.2103581428527832,0.0
13,14,7,0,-0.0742868185043335,0.0,1.2665469646453855,0.0
14,15,7,0,-0.0771257802844047,0.0,1.31894850730896,0.0
15,16,7,0,-0.0797313004732132,0.0,1.3677717447280884,0.0
16,17,7,0,-0.0821160227060318,0.0,1.413214087486267,0.0
17,18,7,0,-0.0842921584844589,0.0,1.4554635286331177,0.0
18,19,7,0,-0.08627158155043912,1.321694078746578e-17,1.4946993589401243,0.0
19,20,7,0,-0.0880657285451889,0.0,1.531093955039978,0.0
20,21,7,0,-0.08968549718459443,1.3216940772294556e-17,1.5648127794265747,0.0
21,22,7,0,-0.09114115536212918,3.3306690731146575e-17,1.5960147380828855,0.0
22,23,7,0,-0.09244218418995533,3.70074341743858e-18,1.6248526573181152,0.0
23,24,7,0,-0.0935970693826675,0.0,1.6514732837677002,0.0
24,25,7,0,-0.0946130454540252,0.0,1.6760172843933103,0.0
25,26,7,0,-0.0954957922299703,2.7491236793528008e-17,1.6986191272735596,0.0
26,27,7,0,-0.09624905983606974,1.480297347213555e-17,1.7194066047668457,0.0
27,28,7,0,-0.0968741938471794,3.3306690399164225e-17,1.7385016679763794,0.0
28,29,7,0,-0.09736944635709126,1.4802973659502693e-17,1.7560192346572876,0.0
29,30,7,0,-0.0977290943264961,0.0,1.7720680236816406,0.0
30,31,7,0,-0.09794227182865142,5.709718420592633e-17,1.7867499589920044,0.0
31,32,7,0,-0.0979914367198944,0.0,1.8001610040664673,0.0
32,33,7,0,-0.09785008182128263,1.6389006581009556e-16,1.8123905658721924,0.0
33,34,7,0,-0.09747978150844568,1.7446361858785276e-17,1.8235217332839968,0.0
34,35,7,0,-0.09682612021764116,6.8728092045145065e-18,1.8336327075958252,0.0
35,36,7,0,-0.09581292370955143,9.093255250481094e-17,1.8427969217300415,0.0
36,37,7,0,-0.0943347146113713,3.684883078443565e-16,1.8510838747024536,0.0
37,38,7,0,-0.09224629054466879,4.747525127572889e-16,1.8585614045461019,9.473903180356982e-16
38,39,7,0,-0.08934896439313882,5.789020052295298e-16,1.8652989784876504,9.473903088621533e-16
39,40,7,0,-0.08537235607703524,2.772914175416187e-15,1.8713709115982056,0.0
40,41,7,0,-0.0799506977200508,1.0229912153186216e-15,1.876862406730652,0.0
41,42,7,0,-0.07259152978658671,5.735094941203936e-15,1.8818774223327637,0.0
42,43,7,0,-0.0626324961582819,9.854551036377248e-15,1.8865493535995483,0.0
43,44,7,0,-0.04917490805188808,2.737268083793862e-14,1.8910544077555338,1.759439160472621e-15
44,45,7,0,-0.03097033798694606,2.2242525277453202e-14,1.895630470911662,9.473903141333017e-16
45,46,7,0,-0.006207121908664666,8.230083281326142e-14,1.9006056785583496,0.0
46,47,7,0,0.02791011383136107,1.871793725327934e-13,1.906454086303711,0.0
47,48,7,0,0.07596037238836285,3.720579400189915e-13,1.91390380859375,2.4361465226748524e-15
48,49,7,0,0.14553235471248624,5.474351131059032e-13,1.924140167236328,3.6542197821079386e-15
49,50,7,0,0.24720878998438514,1.5507426030707083e-12,1.9389810244242354,1.718836710494066e-14
50,51,7,0,0.38607144355773926,1.3114588779665572e-12,1.960157330830892,3.221127065426396e-14
51,52,7,0,0.5465911944707235,8.185790669506466e-13,1.9871341228485107,1.867712335695243e-14
52,53,7,0,0.704758083820343,2.2263672386860366e-14,2.0172905683517457,5.684341888919184e-15
53,54,7,0,0.8492820033660302,1.7025697091044997e-13,2.0484771178318906,1.0931426695109723e-14
54,55,7,0,0.9788854420185089,2.8726227752105923e-13,2.0795674324035645,0.0
55,55,7,1,-0.7937956878117153,3.0451831533510566e-14,1.7886063541684831,4.060244202767848e-15
56,56,7,0,1.0953032970428467,1.657933049180458e-13,2.109988110406058,1.624097681594519e-14
57,56,7,1,-1.0368000119924545,8.422469071283254e-13,1.7300424575805664,4.872293045078866e-14
58,57,7,0,1.2005712787310283,1.6153004872036096e-13,2.139415661493937,1.5158245049665836e-14
59,57,7,1,-1.191367228825887,3.943512183423061e-13,1.687007188796997,2.4868995740590188e-14
60,58,7,0,1.296394681930542,8.810729923193632e-14,2.1676530838012695,0.0
61,58,7,1,-1.313892877101898,1.2789769259441126e-14,1.6503212451934814,0.0
62,59,7,0,1.3840987980365753,7.934393876698751e-14,2.194577217102051,0.0
63,59,7,1,-1.4173176722093062,2.9196846962267146e-14,1.6181404915722934,3.1005501142260583e-15
64,60,7,0,1.4647068977355957,0.0,2.22011399269104,0.0
65,60,7,1,1.4647067785263062,0.0,2.22011399269104,0.0
66,60,7,2,-1.5071933269500732,0.0,1.5896941423416138,0.0
67,60,7,3,-1.5071934461593628,0.0,1.5896941423416138,0.0
68,60,7,4,-1.507193684577942,0.0,1.5896940231323242,0.0
69,61,7,0,1.5390234470367432,1.326346440152745e-14,2.244226455688477,0.0
70,61,7,1,-1.5865052461624145,3.268496584231763e-14,1.5645312786102292,4.263256407501993e-15
71,62,7,0,1.6076955795288086,0.0,2.2669053077697754,0.0
72,62,7,1,-1.657086928685506,3.789561261022384e-14,1.5423258344332378,2.3684757833082552e-15
73,63,7,0,1.6712612628936767,1.1368683745691824e-14,2.288162422180176,1.1368683782749515e-14
74,63,7,1,-1.7201863169670104,5.068538181540752e-14,1.522806203365326,3.3158661004402174e-15
75,64,7,0,1.7301805019378662,0.0,2.308026075363159,0.0
76,64,7,1,1.730180263519287,0.0,2.30802583694458,0.0
77,64,7,2,-1.7767242193222046,0.0,1.5057305097579956,0.0
78,64,7,3,-1.776724338531494,0.0,1.505730390548706,0.0
79,65,7,0,1.784857760776173,6.9762377712648804e-15,2.326537175612016,9.301650363757745e-15
80,65,7,1,-1.827427327632904,4.736951567322371e-15,1.4908761978149414,0.0
81,66,7,0,1.835654377937317,0.0,2.3437461853027344,0.0
82,66,7,1,-1.8729000091552739,0.0,1.4780354499816897,0.0
83,66,7,2,-1.8729002475738523,0.0,1.4780354499816897,0.0
84,67,7,0,1.882900323186602,4.6016100976760723e-14,2.359709228788103,8.120488397636778e-15
85,67,7,1,-1.9136653244495392,3.958738099718322e-14,1.4670137017965317,9.89684527583086e-15
86,68,7,0,1.9268982145521376,2.0526790173244908e-14,2.374485492706299,0.0
87,68,7,1,-1.9501855770746868,9.473903147703167e-15,1.457629919052124,0.0
88,69,7,0,1.9679279327392574,0.0,2.3881373405456543,0.0
89,69,7,1,-1.982878049214681,6.631732197251228e-14,1.449716587861379,2.3684757872787223e-15
90,70,7,0,2.0062496662139893,0.0,2.400726079940796,0.0
91,70,7,1,2.00624942779541,0.0,2.400726079940796,0.0
92,70,7,2,-2.0121216773986816,0.0,1.4431190490722656,0.0
93,71,7,0,2.0421039528316918,2.5263741659855458e-14,2.4123120307922363,0.0
94,71,7,1,-2.038264195124308,6.06329801436062e-14,1.4376961787541707,3.789561258975388e-15
95,72,7,0,2.0757141709327698,1.4210854724025265e-14,2.4229536056518555,0.0
96,72,7,1,-2.0616247437217017,5.167583537312432e-15,1.433319091796875,0.0
97,73,7,0,2.107286810874939,2.842170943040401e-14,2.432705879211426,0.0
98,73,7,1,-2.0824971199035645,0.0,1.4298713207244873,0.0
99,74,7,0,2.137011698314122,3.248195363096604e-14,2.4416205883026123,0.0
100,74,7,1,-2.1011513471603394,1.6240976817373718e-14,1.4272476881742477,3.806478942517315e-15
101,75,7,0,2.165062348047892,3.7895612580224755e-14,2.4497456550598145,0.0
102,75,7,1,-2.1178383827209473,0.0,1.425352931022644,0.0
103,76,7,0,2.1915981769561768,0.0,2.457124948501587,0.0
104,76,7,1,2.1915977001190186,0.0,2.457124948501587,0.0
105,76,7,2,-2.132789373397827,0.0,1.4241018295288086,0.0
106,77,7,0,2.2167627811431885,0.0,2.4637985229492188,0.0
107,77,7,1,-2.146221399307251,0.0,1.4234167337417605,0.0
108,77,7,2,-2.146221876144409,0.0,1.4234166145324707,0.0
109,78,7,0,2.2406861782073975,0.0,2.469802737236023,1.7053025658242404e-14
110,78,7,1,-2.158337699042426,1.5789838570976127e-14,1.4232276015811496,3.94745964365787e-15
111,79,7,0,2.2634884834289553,3.979039319330119e-14,2.475170850753784,0.0
112,79,7,1,-2.1693308353424072,6.31593542792548e-14,1.4234702467918396,1.4210854714945244e-15
113,80,7,0,2.2852763732274375,9.473903150526611e-15,2.479933222134908,9.473903150526611e-15
114,80,7,1,-2.1793854236602783,0.0,1.4240849018096924,0.0
115,80,7,2,-2.1793859004974365,0.0,1.4240847826004028,0.0
116,81,7,0,2.3061491761888777,1.3534147359995934e-14,2.4841181550707137,1.3534147359995934e-14
117,81,7,1,-2.1886839866638184,1.1368683767126942e-13,1.425015300512314,1.5225915749460643e-14
118,82,7,0,2.326197862625122,0.0,2.487752914428711,0.0
119,82,7,1,-2.197404146194458,0.0,1.4262076616287231,0.0
120,82,7,2,-2.197404146194458,0.0,1.4262075424194336,0.0
121,83,7,0,2.345509243011475,1.136868377613207e-14,2.4908645153045654,0.0
122,83,7,1,-2.2057249546051025,0.0,1.4276093244552612,0.0
123,83,7,2,-2.2057251930236816,0.0,1.4276092052459717,0.0
124,84,7,0,2.364166259765625,0.0,2.4934799671173096,0.0
125,84,7,1,2.364166021347046,0.0,2.4934799671173096,0.0
126,84,7,2,-2.21382737159729,0.0,1.4291681051254272,0.0
127,84,7,3,-2.213827610015869,0.0,1.4291679859161377,0.0
128,85,7,0,2.382251262664795,0.0,2.4956283569335938,0.0
129,85,7,1,2.382251024246216,0.0,2.4956283569335938,0.0
130,85,7,2,-2.2218949794769287,0.0,1.4308323860168457,0.0
131,85,7,3,-2.221895456314087,0.0,1.4308322668075562,0.0
132,86,7,0,2.399846076965332,0.0,2.497339963912964,0.0
133,86,7,1,2.399845600128174,0.0,2.4973397254943848,0.0
134,86,7,2,-2.2301120162010193,2.842170942755896e-14,1.4325504451990128,1.7763568395983236e-15
135,87,7,0,2.4170306379144844,8.06143031610153e-14,2.4986477331681685,9.301650343355772e-15
136,87,7,1,-2.2386555671691895,0.0,1.434273600578308,0.0
137,88,7,0,2.4338866642543246,5.413658941506853e-14,2.499586582183838,0.0
138,88,7,1,-2.2476985454559326,0.0,1.4359543323516846,0.0
139,89,7,0,2.4504883072592993,3.9273634828109324e-14,2.500192165374756,0.0
140,89,7,1,-2.257392644882202,1.5158245029548803e-13,1.4375517666339874,2.2500519910591133e-14
141,90,7,0,2.4669061728886197,3.518878308918414e-14,2.5005006790161133,0.0
142,90,7,1,-2.267864227294922,6.496390728462046e-14,1.4390321224927902,3.806478945772017e-15
143,91,7,0,2.4831962982813516,5.4948638248349216e-14,2.5005472898483276,1.7053025658242404e-14
144,91,7,1,-2.2792077329423694,6.3159354237897516e-15,1.4403705596923828,0.0
145,92,7,0,2.4994022846221924,0.0,2.50036358833313,0.0
146,92,7,1,2.4994020462036133,0.0,2.500363349914551,0.0
147,92,7,2,-2.2914748191833496,0.0,1.4415534734725952,0.0
148,92,7,3,-2.2914750576019287,0.0,1.4415533542633057,0.0
149,93,7,0,2.5155500968297324,5.4948638258937124e-14,2.4999788204828897,9.473903150526611e-15
150,93,7,1,-2.3046767711639404,1.4210854705969094e-14,1.4425782759984334,3.552713691405158e-15
151,94,7,0,2.5316482543945313,4.54747350780585e-14,2.499417448043823,1.7053025660889382e-14
152,94,7,1,-2.318783473968506,3.536923840208447e-14,1.4434527277946474,4.5790531807155784e-15
153,95,7,0,2.547690153121948,0.0,2.498699188232422,0.0
154,95,7,1,2.547689914703369,0.0,2.498699188232422,0.0
155,95,7,2,-2.333729982376098,0.0,1.4441931247711182,0.0
156,95,7,3,-2.3337302207946777,0.0,1.4441931247711182,0.0
157,96,7,0,2.5636541843414307,0.0,2.497840166091919,0.0
158,96,7,1,2.5636537075042725,0.0,2.49783992767334,0.0
159,96,7,2,-2.34942356745402,1.2884508270387215e-13,1.4448215961456299,1.7053025674477202e-14
160,97,7,0,2.5795090198516846,3.789561251505028e-14,2.496852227619716,1.3534147353945699e-14
161,97,7,1,-2.365752875804901,1.258675702642403e-13,1.4453645199537275,3.8064789640037535e-15
162,98,7,0,2.5952181816101074,1.3263464401296366e-13,2.4957451479775563,8.120488401124065e-15
163,98,7,1,-2.3826003968715668,1.12671776656557e-13,1.44584821164608,1.776356836762276e-15
164,99,7,0,2.610742966334025,1.4210854720165087e-14,2.4945268630981445,0.0
165,99,7,1,-2.3998447259267173,3.789561258869508e-14,1.4462995131810505,9.47390314717377e-15
166,100,7,0,2.626046299934387,3.600083193988445e-13,2.4932035207748413,5.684341884316149e-14
167,100,7,1,-2.41737040606412,3.720660143790354e-14,1.4467421986839986,2.3254125955788097e-15
168,101,7,0,2.6410914829799106,1.624097681989465e-14,2.4917807579040527,0.0
169,101,7,1,-2.4350716173648834,3.146689257649493e-14,1.4471968859434128,7.866723144123733e-15
170,102,7,0,2.655848400933402,3.518878310241903e-14,2.4902639389038086,0.0
171,102,7,1,-2.4528512954711914,0.0,1.447680950164795,0.0
172,103,7,0,2.670290231704712,0.0,2.4886586666107178,0.0
173,103,7,1,2.6702897548675537,0.0,2.4886584281921387,0.0
174,103,7,2,-2.470624828338623,1.0231815394548396e-13,1.4482086658477784,2.8421709346583037e-15
175,104,7,0,2.6843945384025574,1.2180732610185238e-14,2.4869699478149414,0.0
176,104,7,1,-2.4883199078696117,2.7068294707807365e-14,1.4487904821123396,1.3534147346151818e-14
177,105,7,0,2.698144853115082,4.4662686272266776e-14,2.4852033257484436,1.2180732610185238e-14
178,105,7,1,-2.5058723517826627,7.308439567234157e-14,1.44943482535226,1.3534147346151818e-14
179,106,7,0,2.7115264336268106,3.9618140420776526e-14,2.483364681402842,1.5072118639121988e-14
180,106,7,1,-2.5232290426890054,4.736951571292838e-13,1.450147310892741,1.8947806269289485e-14
181,107,7,0,2.724530816078186,2.431635139700545e-13,2.481459307670593,1.3263464404701956e-14
182,107,7,1,-2.5403448581695556,4.54747350780585e-14,1.4509308576583861,2.8421709509813347e-15
